Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,New_cases_roll7,New_deaths_roll7,CFR_roll7,Variant_phase,ISO3,COUNTRY,COVID_VACCINE_ADM_TOT_A1D,COVID_VACCINE_ADM_TOT_BOOST,COVID_VACCINE_ADM_TOT_CPS,COVID_VACCINE_ADM_TOT_DOSES,COVID_VACCINE_ADM_TOT_DOSES_PER100,COVID_VACCINE_COV_TOT_A1D,COVID_VACCINE_COV_TOT_BOOST,COVID_VACCINE_COV_TOT_CPS,COVID_VACCINE_DATE_INTRO_FIRST,COVID_VACCINE_DATE_REPORT_TOT_LAST,CFR_roll7_clean,population,cases_per_million,deaths_per_million
2022-06-25,MX,Mexico,AMR,18409.0,5993759,18.0,326355,12701.0,16.0,0.001259743327297,Omicron,MEX,,88414654.57142857,53239049.14285714,79947470.0,209561452.42857143,162.96428571428572,68.96428571428571,41.0,62.0,,,0.001259743327297,126705000,100.24071662523184,0.12627757389211158
2022-06-26,MX,Mexico,AMR,18965.0,6012724,19.0,326374,13895.142857142857,16.857142857142858,0.0012131680134887,Omicron,MEX,MEX,88433575.0,53246035.0,79947470.0,209602990.0,163.0,69.0,41.0,62.0,2020-12-24,2023-12-29,0.0012131680134887,126705000,109.66530805526898,0.13304244392204617
2022-06-27,MX,Mexico,AMR,7782.0,6020506,18.0,326392,14370.714285714286,17.428571428571427,0.0012127839355832,Omicron,MEX,,88558983.54285714,53344837.8,79947470.0,209605007.77142856,163.0,69.08571428571429,41.08571428571429,62.0,,,0.0012127839355832,126705000,113.41868344354434,0.13755235727533582
2022-06-28,MX,Mexico,AMR,7167.0,6027673,30.0,326422,14861.285714285714,19.714285714285715,0.001326553172673,Omicron,MEX,,88684392.08571428,53443640.6,79947470.0,209607025.5428572,163.0,69.17142857142858,41.17142857142857,62.0,,,0.001326553172673,126705000,117.29044405734355,0.15559201068849465
2022-06-29,MX,Mexico,AMR,28019.0,6055692,27.0,326449,16441.571428571428,21.571428571428573,0.0013120052827762,Omicron,MEX,,88809800.62857144,53542443.4,79947470.0,209609043.31428573,163.0,69.25714285714285,41.25714285714286,62.0,,,0.0013120052827762,126705000,129.7626094358662,0.1702492290866862
2022-06-30,MX,Mexico,AMR,26950.0,6082642,22.0,326471,17900.85714285714,22.285714285714285,0.0012449523566309,Omicron,MEX,,88935209.17142858,53641246.2,79947470.0,209611061.08571428,163.0,69.34285714285714,41.34285714285714,62.0,,,0.0012449523566309,126705000,141.27980066182977,0.17588662077829828
2022-07-01,MX,Mexico,AMR,27564.0,6110206,35.0,326506,19265.14285714286,24.142857142857142,0.0012531885863439,Post-Omicron,MEX,,89060617.71428572,53740049.0,79947470.0,209613078.85714287,163.0,69.42857142857143,41.42857142857143,62.0,,,0.0012531885863439,126705000,152.04721879280893,0.19054383917648982
2022-07-02,MX,Mexico,AMR,27831.0,6138037,26.0,326532,20611.14285714286,25.285714285714285,0.0012267982644616,Post-Omicron,MEX,,89186026.25714286,53838851.8,79947470.0,209615096.62857145,163.0,69.51428571428572,41.51428571428571,62.0,,,0.0012267982644616,126705000,162.67031969648284,0.19956366588306923
2022-07-03,MX,Mexico,AMR,27152.0,6165189,28.0,326560,21780.714285714286,26.571428571428573,0.0012199521201587,Post-Omicron,MEX,,89311434.8,53937654.6,79947470.0,209617114.4,163.0,69.6,41.6,62.0,,,0.0012199521201587,126705000,171.90098485232852,0.20971097092797106
2022-07-04,MX,Mexico,AMR,11114.0,6176303,40.0,326600,22256.714285714286,29.714285714285715,0.0013350706367901,Post-Omicron,MEX,,89436843.34285714,54036457.4,79947470.0,209619132.17142856,163.0,69.68571428571428,41.68571428571428,62.0,,,0.0013350706367901,126705000,175.65774267561886,0.2345154943710644
2022-07-05,MX,Mexico,AMR,9632.0,6185935,33.0,326633,22608.85714285714,30.142857142857142,0.0013332322351543,Post-Omicron,MEX,,89562251.88571429,54135260.2,79947470.0,209621149.94285715,163.0,69.77142857142857,41.77142857142857,62.0,,,0.0013332322351543,126705000,178.43697677958363,0.2378979293860317
2022-07-06,MX,Mexico,AMR,37784.0,6223719,51.0,326684,24003.85714285714,33.57142857142857,0.0013985847512602,Post-Omicron,MEX,,89687660.42857143,54234063.0,79947470.0,209623167.7142857,163.0,69.85714285714286,41.85714285714285,62.0,,,0.0013985847512602,126705000,189.44680275330208,0.26495740950576985
2022-07-07,MX,Mexico,AMR,36007.0,6259726,41.0,326725,25297.714285714286,36.285714285714285,0.0014343475412798,Post-Omicron,MEX,,89813068.97142857,54332865.8,79947470.0,209625185.4857143,163.0,69.94285714285714,41.94285714285714,62.0,,,0.0014343475412798,126705000,199.6583740634883,0.28637949793389594
2022-07-08,MX,Mexico,AMR,36453.0,6296179,49.0,326774,26567.571428571428,38.285714285714285,0.0014410694025476,Post-Omicron,MEX,,89938477.51428571,54431668.6,79947470.0,209627203.25714287,163.0,70.02857142857142,42.02857142857143,62.0,,,0.0014410694025476,126705000,209.68052901283633,0.3021641946704099
2022-07-09,MX,Mexico,AMR,35711.0,6331890,54.0,326828,27693.285714285717,42.285714285714285,0.0015269301996873,Post-Omicron,MEX,,90063886.05714285,54530471.4,79947470.0,209629221.02857143,163.0,70.11428571428571,42.114285714285714,62.0,,,0.0015269301996873,126705000,218.56505831881708,0.3337335881434378
2022-07-10,MX,Mexico,AMR,33404.0,6365294,47.0,326875,28586.42857142857,45.0,0.0015741735588815,Post-Omicron,MEX,,90189294.6,54629274.2,79947470.0,209631238.8,163.0,70.2,42.2,62.0,,,0.0015741735588815,126705000,225.61405289000882,0.3551556765715638
2022-07-11,MX,Mexico,AMR,13288.0,6378582,60.0,326935,28897.0,47.85714285714285,0.0016561284166917,Post-Omicron,MEX,,90314703.14285716,54728077.0,79947470.0,209633256.57142857,163.0,70.28571428571429,42.285714285714285,62.0,,,0.0016561284166917,126705000,228.0651907975218,0.37770524333801225
2022-07-12,MX,Mexico,AMR,11636.0,6390218,75.0,327010,29183.285714285717,53.85714285714285,0.0018454790658057,Post-Omicron,MEX,,90440111.68571427,54826879.8,79947470.0,209635274.34285715,163.0,70.37142857142857,42.371428571428574,62.0,,,0.0018454790658057,126705000,230.32465738751998,0.42505933354755415
2022-07-13,MX,Mexico,AMR,44550.0,6434768,82.0,327092,30149.85714285714,58.285714285714285,0.0019332003468388,Post-Omicron,MEX,,90565520.22857144,54925682.6,79947470.0,209637292.1142857,163.0,70.45714285714286,42.457142857142856,62.0,,,0.0019332003468388,126705000,237.95317582460947,0.46001116203554937
2022-07-14,MX,Mexico,AMR,39637.0,6474405,73.0,327165,30668.42857142857,62.85714285714285,0.0020495716860987,Post-Omicron,MEX,,90690928.77142856,55024485.4,79947470.0,209639309.8857143,163.0,70.54285714285714,42.54285714285714,62.0,,,0.0020495716860987,126705000,242.04592219271984,0.49609046886186686
2022-07-15,MX,Mexico,AMR,37545.0,6511950,100.0,327265,30824.42857142857,70.14285714285714,0.0022755606638519,Post-Omicron,MEX,,90816337.31428573,55123288.2,79947470.0,209641327.65714285,163.0,70.62857142857143,42.62857142857143,62.0,,,0.0022755606638519,126705000,243.27712853816794,0.5535918641163107
2022-07-16,MX,Mexico,AMR,35391.0,6547341,92.0,327357,30778.714285714286,75.57142857142857,0.0024553146655155,Post-Omicron,MEX,,90941745.85714284,55222091.0,79947470.0,209643345.42857143,163.0,70.71428571428571,42.71428571428572,62.0,,,0.0024553146655155,126705000,242.9163354699048,0.5964360409725628
